chunk_id,text,metadata
0,Prof.,"{'producer': 'Acrobat PDFWriter 4.0 für Windows', 'creator': 'Microsoft Word', 'creationdate': 'D:20021014012538', 'moddate': '2002-10-14T01:29:01+02:00', 'source': 'GenAI_LLM\\aerodocsense_understanding\\data\\ata29_doc.pdf', 'total_pages': 9, 'page': 0, 'page_label': '1'}"
1,"Dr. Dieter Scholz   university of applied sciences  hamburg   AUTOMOTIVE AND AEROSPACE ENGINEERING  
8 Hydraulic Power (ATA 29) 
 
8.1 Definition 
 
Those units and components which furnish hydraulic fluid under pressure (includes pumps, 
regulators, lines, valves, etc.) to a common point (manifold) for redistribution to other defined 
systems. (ATA 100) 
 
 
 
8.2 Purpose 
 
The purpose of the hydraulic system  is to assist the pilot in accomplishing mechanical task 
that would otherwise be impractical or impossible because of the level of force, work, or 
power required. On smaller aircraft the flight control surfaces are moved by pilot force. On 
larger and faster aircraft this becomes impossible and so hydraulic power is applied. A total 
failure of the flight control system evidently has a catastrophic effect. Consequently, a failure 
of the hydraulic power supply of la rge aircraft has to be extremely improbable. This required 
level of safety is achieved with redundancy through three or even four independent hydraulic 
subsystems. Figure 8.1 A basic hydraulic system","{'producer': 'Acrobat PDFWriter 4.0 für Windows', 'creator': 'Microsoft Word', 'creationdate': 'D:20021014012538', 'moddate': '2002-10-14T01:29:01+02:00', 'source': 'GenAI_LLM\\aerodocsense_understanding\\data\\ata29_doc.pdf', 'total_pages': 9, 'page': 0, 'page_label': '1'}"
2,"Hydraulic Power 8-2 
Prof. Dr. Dieter Scholz   university of ap plied sciences  hamburg   AUTOMOTIVE AND AEROSPACE ENGINEERING  
8.3 Principle 
 
Figure 8.1 shows the principle of a hy draulic system . Hydraulic fluid is contained in a 
reservoir.","{'producer': 'Acrobat PDFWriter 4.0 für Windows', 'creator': 'Microsoft Word', 'creationdate': 'D:20021014012538', 'moddate': '2002-10-14T01:29:01+02:00', 'source': 'GenAI_LLM\\aerodocsense_understanding\\data\\ata29_doc.pdf', 'total_pages': 9, 'page': 1, 'page_label': '2'}"
3,"Through a suction line the pump draws fluid from the reservoir and puts is at a 
higher pressure. Today aircraft hydraulic systems are typically designed to a nominal pressure 
of 206  bar (3000  psi). The trend is toward higher system pressure: 345  bar (5000  psi). An 
accumulator serves as temporary energy storage and is able to store or redistribute surplus 
high-pressure fluid. A pressure-relief valve  is able to shortcut the high -pressure line to the  
reservoir in case of a system malfunction leading to higher pressure than specified. The 
pressure differential supplied by the pump is used by hydraulic consumers. The example 
shows a typical consumer in the flight control system. An actuator piston rod h as to move in 
and out in order to deflect a control surface (not shown). The actuator piston is moved through 
hydraulic fluid that enters the left actuator chamber and fluid that leaves the right actuator 
chamber (or vice versa). A valve schedules the requ ired fluid flow. Shown is a servo valve . The valve has four connections to hydraulic tubes: one connection to each of the two actuator 
chambers, one connection to the high-pressure line, and one connection to the return line. The 
valve may be moved into on e of three positions that lead to piston rod extension, piston rod 
retraction, or no piston rod movement. In the case of a flight control consumer, it is necessary 
that the valve moves gradually from one position into the other to allow a proportional cont rol 
of the surface. In case the of landing gear extension and retraction, a selector valve  would be 
used. The selector valve allows three distinct valve positions without any intermediate 
positions. During system design the complete circuit, including hy draulic power generation, distribution, 
and consumption, has to be analyzed. According to the ATA breakdown, the consumers with 
their valves are allocated to their respective system.","{'producer': 'Acrobat PDFWriter 4.0 für Windows', 'creator': 'Microsoft Word', 'creationdate': 'D:20021014012538', 'moddate': '2002-10-14T01:29:01+02:00', 'source': 'GenAI_LLM\\aerodocsense_understanding\\data\\ata29_doc.pdf', 'total_pages': 9, 'page': 1, 'page_label': '2'}"
4,"ATA 29 deals only with power generation 
and distribution. Three types of  hydraulic fluids exist: vegetable based , mineral based , and synthetic or 
phosphate ester -based. Transport category aircraft use the purple -colored phosphate ester -
based fluid – most commonly Skydrol® LD. Skydrol ® shows good performance even at low 
temperatures, excellent flammability characteristics, and minimal effects on most common 
aircraft metals, but does react with certain types of paint and can be an eye and respiratory 
irritant.","{'producer': 'Acrobat PDFWriter 4.0 für Windows', 'creator': 'Microsoft Word', 'creationdate': 'D:20021014012538', 'moddate': '2002-10-14T01:29:01+02:00', 'source': 'GenAI_LLM\\aerodocsense_understanding\\data\\ata29_doc.pdf', 'total_pages': 9, 'page': 1, 'page_label': '2'}"
5,"Hydraulic Power 8-3 
Prof. Dr. Dieter Scholz   university of ap plied sciences  hamburg   AUTOMOTIVE AND AEROSPACE ENGINEERING  
8.4 Components 
 
The reservoir acts as a storage tank for the system's  fluid. Reservoirs can be broken down 
into two basic types, in-line and integral, and these can be further classified as pressurized 
and unpressurized. Integral reservoirs, found on small aircraft, are combined with the pump. Aircraft that operate at low a ltitudes could use unpressurized reservoirs that vent the reservoir 
to the atmosphere. Other aircraft positively pressurize the reservoir with air from the 
pneumatic system, hydraulic pressure (bootstrap reservoir) (Figure  8.2), or a spring. In a 
bootstrap reservoir, high pressure (HP) fluid acts on a small plunger that is coupled with a 
large plunger that in turn acts on the low pressure (LP) fluid in the reservoir. Commonly, air 
pressure is used for reservoir pressurization. The air pressure usually needs to be reduced by a 
pressure regulator. It then enters the airspace above the fluid in the reservoir. Figure 8.2 Hydraulically pressured reservoir known as bootstrap reservoir (VFW 614) 
 
Commonly used are axial multiple -piston pumps. The two principles a pplied are constant 
displacement and variable displacement .","{'producer': 'Acrobat PDFWriter 4.0 für Windows', 'creator': 'Microsoft Word', 'creationdate': 'D:20021014012538', 'moddate': '2002-10-14T01:29:01+02:00', 'source': 'GenAI_LLM\\aerodocsense_understanding\\data\\ata29_doc.pdf', 'total_pages': 9, 'page': 2, 'page_label': '3'}"
6,"The shaft can be driven by the aircraft engine, by an 
electric motor, or through a device powered by the pneumatic system. The shaft turns the 
cylinder block with the pistons. Whenever an elevated  piston is pushed into the cylinder 
block, fluid is ejected into an out port. Accordingly, during the other half of the revolution on 
its way back to the elevated position, the piston draws fluid from an in port into the cylinder 
block. Constant displaceme nt pumps deliver exactly the same amount of fluid every 
revolution and must incorporate a pressure regulator. Most widely used, however, are variable","{'producer': 'Acrobat PDFWriter 4.0 für Windows', 'creator': 'Microsoft Word', 'creationdate': 'D:20021014012538', 'moddate': '2002-10-14T01:29:01+02:00', 'source': 'GenAI_LLM\\aerodocsense_understanding\\data\\ata29_doc.pdf', 'total_pages': 9, 'page': 2, 'page_label': '3'}"
7,"Hydraulic Power 8-4 
Prof. Dr. Dieter Scholz   university of ap plied sciences  hamburg   AUTOMOTIVE AND AEROSPACE ENGINEERING  
displacement axial multiple -piston pumps (Figure 8.3). The variable displacement is achieved 
by a swashpla te. The angle of the swashplate is adjusted by a pressure controller. At highest 
swashplate angle, the pump achieves its maximum flow rate, and at zero angle there is no 
fluid flow. For minor tasks, hand pumps  may be applied. A ram air turbine  (RAT) (Figure 8.8) may be 
turned into the free stream of air to power a hydraulic pump. This is done in the event of an 
engine failure or a major electrical system failure. Figure 8.3 Variable displacement axial multiple-piston pump 
 
Three types of accumulators a re known: The diaphragm-type accumulator , the bladder type 
accumulator, and the piston type accumulator  (Figure 8.4). Diaphragm, bladder, or piston 
divide the fluid chamber from the nitrogen chamber of the accumulator.","{'producer': 'Acrobat PDFWriter 4.0 für Windows', 'creator': 'Microsoft Word', 'creationdate': 'D:20021014012538', 'moddate': '2002-10-14T01:29:01+02:00', 'source': 'GenAI_LLM\\aerodocsense_understanding\\data\\ata29_doc.pdf', 'total_pages': 9, 'page': 3, 'page_label': '4'}"
8,"Hydraulic fluid is 
allowed to flow fr eely into and out of the fluid chamber of the accumulator. The compressible 
nitrogen acts like a spring against the hydraulic fluid. The accumulator acts as a high -pressure 
and fluid storage and eliminates shock waves from the system. Figure 8.4 Piston type accumulator (VFW  614) 
 
Filters are installed in the high -pressure and the return line. Three filter types are in use: 
micron, porous metal, and magnetic. Micron filters  contain a treated paper element to trap 
particles as the fluid flows through the e lement. Porous metal filters  are composed of metal 
particles joined together by a sintering process. Magnetic filters  attract metal particles. Filters 
consist of a head assembly that contains the fluid line connections and a bypass valve to 
input sets swashplate angle
piston cylinder block
swashplate
""out""
""in""","{'producer': 'Acrobat PDFWriter 4.0 für Windows', 'creator': 'Microsoft Word', 'creationdate': 'D:20021014012538', 'moddate': '2002-10-14T01:29:01+02:00', 'source': 'GenAI_LLM\\aerodocsense_understanding\\data\\ata29_doc.pdf', 'total_pages': 9, 'page': 3, 'page_label': '4'}"
9,"Hydraulic Power 8-5 
Prof.","{'producer': 'Acrobat PDFWriter 4.0 für Windows', 'creator': 'Microsoft Word', 'creationdate': 'D:20021014012538', 'moddate': '2002-10-14T01:29:01+02:00', 'source': 'GenAI_LLM\\aerodocsense_understanding\\data\\ata29_doc.pdf', 'total_pages': 9, 'page': 4, 'page_label': '5'}"
